Time,ROOM 1:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM 1:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM 1:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM 1:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM 1::Des Latent Heat Load [W],ROOM 1::Des Latent Cool Load [W],ROOM 1::Des Latent Heat Mass Flow [kg/s],ROOM 1::Des Latent Cool Mass Flow [kg/s],ROOM 1::Des Heat Load No DOAS [W],ROOM 1::Des Sens Cool Load No DOAS [W],ROOM 1::Des Latent Heat Load No DOAS [W],ROOM 1::Des Latent Cool Load No DOAS [W],ROOM 1:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM 1:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM 1:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM 1:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],ROOM 2:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM 2:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM 2::Des Latent Heat Load [W],ROOM 2::Des Latent Cool Load [W],ROOM 2::Des Latent Heat Mass Flow [kg/s],ROOM 2::Des Latent Cool Mass Flow [kg/s],ROOM 2::Des Heat Load No DOAS [W],ROOM 2::Des Sens Cool Load No DOAS [W],ROOM 2::Des Latent Heat Load No DOAS [W],ROOM 2::Des Latent Cool Load No DOAS [W],ROOM 2:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM 2:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],ROOM 3:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM 3:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM 3::Des Latent Heat Load [W],ROOM 3::Des Latent Cool Load [W],ROOM 3::Des Latent Heat Mass Flow [kg/s],ROOM 3::Des Latent Cool Mass Flow [kg/s],ROOM 3::Des Heat Load No DOAS [W],ROOM 3::Des Sens Cool Load No DOAS [W],ROOM 3::Des Latent Heat Load No DOAS [W],ROOM 3::Des Latent Cool Load No DOAS [W],ROOM 3:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM 3:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
01:00:00,1.046837E+03,0.000000E+00,5.402679E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099830E+01,4.962487E+01,2.816134E+01,5.786076E+01,8.512287E+02,0.000000E+00,4.393145E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099826E+01,4.961239E+01,2.808909E+01,5.907137E+01,6.612016E+02,0.000000E+00,3.412412E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099818E+01,4.960293E+01,2.805923E+01,6.301066E+01
02:00:00,1.047191E+03,0.000000E+00,5.404507E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099831E+01,4.961707E+01,2.861668E+01,6.217590E+01,8.515036E+02,0.000000E+00,4.394564E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099826E+01,4.960441E+01,2.854308E+01,6.336713E+01,6.614212E+02,0.000000E+00,3.413545E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099818E+01,4.959552E+01,2.851920E+01,6.615537E+01
03:00:00,1.047523E+03,0.000000E+00,5.406218E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099830E+01,4.961391E+01,2.877086E+01,6.697763E+01,8.517606E+02,0.000000E+00,4.395889E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099825E+01,4.960202E+01,2.870415E+01,6.799432E+01,6.616266E+02,0.000000E+00,3.414604E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099818E+01,4.959465E+01,2.869984E+01,6.957373E+01
04:00:00,1.047835E+03,0.000000E+00,5.407830E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099830E+01,4.961472E+01,2.885789E+01,6.980629E+01,8.520022E+02,0.000000E+00,4.397135E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099825E+01,4.960321E+01,2.880090E+01,7.057906E+01,6.618195E+02,0.000000E+00,3.415599E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099817E+01,4.959627E+01,2.881554E+01,7.128468E+01
05:00:00,1.048130E+03,0.000000E+00,5.409353E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099830E+01,4.961606E+01,2.886243E+01,7.126609E+01,8.522299E+02,0.000000E+00,4.398310E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099825E+01,4.960447E+01,2.881632E+01,7.171612E+01,6.620013E+02,0.000000E+00,3.416537E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099817E+01,4.959731E+01,2.884941E+01,7.176422E+01
06:00:00,1.048409E+03,0.000000E+00,5.410792E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099830E+01,4.961669E+01,2.883715E+01,7.143844E+01,8.524448E+02,0.000000E+00,4.399419E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099825E+01,4.960496E+01,2.879828E+01,7.168281E+01,6.621726E+02,0.000000E+00,3.417421E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099817E+01,4.959760E+01,2.884282E+01,7.149242E+01
07:00:00,7.509251E+02,1.607803E+03,3.875491E-02,1.431648E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099830E+01,4.961692E+01,2.445577E+01,6.132761E+01,6.079272E+02,1.251415E+03,3.137478E-02,1.117862E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099825E+01,4.960513E+01,2.445281E+01,6.104230E+01,4.708221E+02,9.711336E+02,2.429876E-02,8.737745E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099817E+01,4.959778E+01,2.445903E+01,6.268497E+01
08:00:00,7.511431E+02,8.614002E+02,3.876688E-02,8.442030E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099865E+01,5.005721E+01,2.399735E+01,5.230427E+01,6.080947E+02,6.867882E+02,3.138403E-02,6.730778E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099862E+01,5.006707E+01,2.399734E+01,5.213307E+01,4.709587E+02,6.049286E+02,2.430630E-02,5.929853E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099855E+01,5.010149E+01,2.399510E+01,5.645519E+01
09:00:00,7.513558E+02,9.579585E+02,3.877845E-02,9.391199E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099894E+01,5.049324E+01,2.399431E+01,4.603210E+01,6.082560E+02,7.440398E+02,3.139285E-02,7.293947E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099892E+01,5.051014E+01,2.399449E+01,4.600704E+01,4.710867E+02,6.414830E+02,2.431334E-02,6.291310E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099890E+01,5.055382E+01,2.399013E+01,5.268113E+01
10:00:00,7.515398E+02,8.404217E+02,3.878851E-02,8.235725E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099921E+01,5.070654E+01,2.399821E+01,4.869763E+01,6.083946E+02,6.499830E+02,3.140048E-02,6.369444E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099921E+01,5.071309E+01,2.399833E+01,4.891685E+01,4.711974E+02,5.869589E+02,2.431945E-02,5.756092E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099920E+01,5.073346E+01,2.399095E+01,5.646147E+01
