Time,THERMAL ZONE 1:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Heat Load [W],THERMAL ZONE 1::Des Latent Cool Load [W],THERMAL ZONE 1::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Heat Load No DOAS [W],THERMAL ZONE 1::Des Sens Cool Load No DOAS [W],THERMAL ZONE 1::Des Latent Heat Load No DOAS [W],THERMAL ZONE 1::Des Latent Cool Load No DOAS [W],THERMAL ZONE 1:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 1:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 1:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 2:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Latent Heat Load [W],THERMAL ZONE 2::Des Latent Cool Load [W],THERMAL ZONE 2::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Heat Load No DOAS [W],THERMAL ZONE 2::Des Sens Cool Load No DOAS [W],THERMAL ZONE 2::Des Latent Heat Load No DOAS [W],THERMAL ZONE 2::Des Latent Cool Load No DOAS [W],THERMAL ZONE 2:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 2:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 2:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 2:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 3:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:TAIPEI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3::Des Latent Heat Load [W],THERMAL ZONE 3::Des Latent Cool Load [W],THERMAL ZONE 3::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 3::Des Heat Load No DOAS [W],THERMAL ZONE 3::Des Sens Cool Load No DOAS [W],THERMAL ZONE 3::Des Latent Heat Load No DOAS [W],THERMAL ZONE 3::Des Latent Cool Load No DOAS [W],THERMAL ZONE 3:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 3:TAIPEI ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 3:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 3:TAIPEI ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,2.805132E+03,2.555536E+02,1.447822E-01,1.972248E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025357E+01,2.669900E+01,6.397186E+01,2.079267E+03,3.514939E+03,1.073180E-01,2.712525E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.992140E+01,2.669625E+01,4.743648E+01,3.331437E+03,4.359978E+03,1.719443E-01,3.365418E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949342E+01,2.669319E+01,5.087179E+01
00:20:00,2.804582E+03,3.280141E+02,1.447538E-01,2.531310E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025295E+01,2.669895E+01,6.426546E+01,2.078518E+03,3.535447E+03,1.072793E-01,2.728339E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991979E+01,2.669632E+01,4.719347E+01,3.330704E+03,4.370958E+03,1.719065E-01,3.373897E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949335E+01,2.669322E+01,5.073525E+01
00:30:00,2.804037E+03,3.774487E+02,1.447257E-01,2.912140E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025241E+01,2.669882E+01,6.443210E+01,2.077776E+03,3.553298E+03,1.072411E-01,2.742101E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991836E+01,2.669639E+01,4.691625E+01,3.329979E+03,4.379026E+03,1.718691E-01,3.380124E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949329E+01,2.669326E+01,5.056381E+01
00:40:00,2.803496E+03,4.167982E+02,1.446978E-01,3.215763E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025195E+01,2.669872E+01,6.451741E+01,2.077041E+03,3.568773E+03,1.072031E-01,2.754029E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991710E+01,2.669649E+01,4.666433E+01,3.329262E+03,4.384474E+03,1.718320E-01,3.384325E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949325E+01,2.669332E+01,5.041308E+01
00:50:00,2.802960E+03,4.521072E+02,1.446701E-01,3.488216E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025156E+01,2.669863E+01,6.454798E+01,2.076314E+03,3.582218E+03,1.071656E-01,2.764390E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991598E+01,2.669657E+01,4.645863E+01,3.328551E+03,4.387543E+03,1.717954E-01,3.386687E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949323E+01,2.669337E+01,5.030071E+01
01:00:00,2.802428E+03,4.781877E+02,1.446427E-01,3.689470E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025122E+01,2.669856E+01,6.453783E+01,2.075593E+03,3.593937E+03,1.071284E-01,2.773418E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991500E+01,2.669664E+01,4.629623E+01,3.327848E+03,4.388496E+03,1.717591E-01,3.387414E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949321E+01,2.669339E+01,5.022228E+01
01:10:00,2.802470E+03,5.070159E+02,1.446448E-01,3.911919E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025093E+01,2.669850E+01,6.449571E+01,2.075654E+03,3.612077E+03,1.071315E-01,2.787400E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991413E+01,2.669669E+01,4.616730E+01,3.327909E+03,4.395432E+03,1.717622E-01,3.392759E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949320E+01,2.669340E+01,5.016790E+01
01:20:00,2.802512E+03,5.314839E+02,1.446470E-01,4.100729E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025068E+01,2.669845E+01,6.442745E+01,2.075715E+03,3.629091E+03,1.071347E-01,2.800515E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991336E+01,2.669673E+01,4.606277E+01,3.327969E+03,4.401302E+03,1.717653E-01,3.397281E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949320E+01,2.669343E+01,5.012838E+01
01:30:00,2.802553E+03,5.523295E+02,1.446491E-01,4.261588E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025047E+01,2.669841E+01,6.433850E+01,2.075775E+03,3.645099E+03,1.071378E-01,2.812854E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991268E+01,2.669676E+01,4.597641E+01,3.328029E+03,4.406374E+03,1.717684E-01,3.401186E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949320E+01,2.669349E+01,5.009797E+01
01:40:00,2.802594E+03,5.700477E+02,1.446512E-01,4.398315E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099969E+01,5.025029E+01,2.669837E+01,6.423412E+01,2.075834E+03,3.660206E+03,1.071408E-01,2.824501E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099971E+01,4.991208E+01,2.669679E+01,4.590424E+01,3.328088E+03,4.410873E+03,1.717715E-01,3.404649E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099944E+01,4.949321E+01,2.669353E+01,5.007386E+01
